Time,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20
27000,867.12,597.84,1075.9,1223.2,1278.9,1675.7,1571.3,852.27,501.46,1020.8,1225.1,1203.7,863.1,812.43,925.32,1231.8,1127.6,983.56,1129,1175
27600,930.47,569,1146.8,1119,1426.1,1738.7,1553.9,1045.2,580.6,997.9,1080.1,1127.9,841.38,877.55,1192.1,1233.6,971.09,1027.1,1034.3,1162.8
28200,895.07,598.43,1063.4,1036.8,1307.1,1730.3,1519.4,1013.3,534.22,985.1,1050.3,1259.1,848.13,837.6,1268.9,1575.3,869.34,877.52,1098.7,1139
28800,787.26,565.84,1055.3,1059.2,1410.5,1741,1192.6,1037.9,696.22,956.99,977.22,1190.9,750.77,755.89,1239,1490.9,879.53,879.36,1051.9,1129.4
29400,901.5,637.76,957.68,1194.3,1407.6,1581.8,1057.9,973.18,692.9,997.45,966.54,1101.9,624.33,970.84,1260.9,1441.3,734.54,763.8,1074.4,1106.4
30000,1164,619.34,876.37,1011,1482.8,1622.6,1149.7,864.15,758.93,801.36,1041,1249.7,706.92,1089.9,1246.8,1471.8,702.11,734.36,1056.9,1137.5
30600,1174.3,576.74,867.69,973.69,1407.7,1383,1097.2,814.62,888.74,816.76,1087.5,1299.4,742.75,1084.3,1315.5,1199.3,727.06,732.02,1178.5,984.92
31200,1337.2,735.27,808.87,880.6,1355.4,1425.9,1118.1,798.23,899.69,873.78,1194.5,1262.6,775.2,1004.3,1352.3,1103.6,671.69,725.99,1166.3,907.45
31800,1442.3,741.51,740.98,749.52,1331.6,1255.6,1005.9,699.39,870.52,972.73,1187,1089,780.28,942.39,1488.7,1031.9,671.36,887.13,1171.3,883.65
32400,1280.2,858.69,752.59,759.71,1525.5,1275.3,926.26,684.53,895.49,820.82,1176.9,1214.1,878.34,913.82,1648.8,995.72,722.5,868.14,1189,969.62
33000,1175.3,882.36,568.48,757.21,1545.4,1348.3,944.95,661.28,868.78,992.68,1040.1,1081.9,931.02,982.38,1705.1,1054.4,650.98,885.22,1312.9,1019.4
33600,1196,879.09,644.09,804.52,1551.2,1339.1,947.76,494.36,790.92,1019,1006.7,988.01,879.16,961.31,1547.4,928.58,819.59,1017.1,1212,993.43
34200,1178.1,831.18,602.69,878.4,1669.4,1203.1,933.56,664.13,838.09,1089.2,910.25,996.24,996.28,944.93,1524.9,798.15,842.45,1045.2,1241.4,1055.4
34800,1286.2,922.48,648.91,879.5,1670,1256.6,909.92,579.19,721.61,1096.7,1039,1055.3,1123.8,1010.5,1228.8,876.98,892.02,1128.1,1275.9,1054.3
35400,1287.2,947.61,701.49,1044,1681.9,1290.5,1007.6,612.41,639.33,1195.3,957.44,1018.4,1200.1,894.3,1105.6,826,847.92,1123,1203.9,1054.1
36000,1524.3,1013.5,753.99,936.2,1678.1,1213.3,967.9,651.65,629.39,1202.1,1054.8,1035.3,1426.7,999.26,1074.1,898.46,862.81,1155.6,1142.6,878.8
36600,1527.9,976.45,807.41,1110.2,1730.9,1326.5,976.52,762.75,631.74,1202.1,1035.7,1011.7,1309.6,1057.8,930.38,929.66,835.27,1052.6,1089.7,835.55
37200,1561.3,1040.5,795.38,1158.3,1592.6,1143.8,855.55,672.81,627.56,1338.1,1001.4,927.77,1304.3,1056.6,856.81,1147,753.81,1224,1066.5,999.05
37800,1554.2,1088.7,915.58,1098.9,1614,1108.3,871.71,725.11,765.21,1284.4,1002,800.98,1173.3,1188,759.21,1060.4,730.36,1281.9,942.38,1016.8
38400,1472,935.65,985.52,1072.3,1638.8,1109.2,893.69,826.7,773.72,1477.6,931.03,793.34,1175.4,1123.4,712.97,1173.4,718.67,1297.8,1064.4,988.56
39000,1414,932.19,1121.7,1092.9,1491.1,1033.2,1063.9,750.96,1078.5,1403.7,898.43,843.06,1111.2,1164,656.42,1132.5,773.88,1289.6,1048.3,972.37
39600,1313.9,1001.6,1150.8,1122.2,1338.2,924.02,1065.3,863.72,1030.9,1398.5,951.94,889.58,1097.7,1296.2,723.58,1221.9,765.42,1326.8,955.17,1053.4
40200,1216.7,958.84,1209.6,1142.4,1220.6,872.66,1039.7,928.29,1029.7,1399.4,1056.3,852.8,1127.6,1383.8,757.11,1402.4,757.36,1269.2,916.56,958.65
40800,1146.1,1032.6,1288.8,1151,1128.4,835.23,1039.1,969.98,964.69,1217.2,1023.3,876.08,1147.2,1312.8,909.41,1324.6,726.21,1204.5,893.24,998.33
41400,1006.7,1178.7,1331.2,1053.6,1010.5,872.5,1094.5,1005.6,1028.3,1261.9,950.84,830.32,980.09,1160.6,1130.8,1356.4,573.09,1100.2,804.35,971.4
42000,974.72,1165,1306.8,1092,976.23,846.82,1250.2,1021,1006.9,1125.3,1143.9,966.92,993.27,1067,1302.1,1245.7,626.33,941.33,630.98,902.09
42600,1034.5,1311.5,1423.2,1064.9,1066,1034.3,1425.5,891.04,888.84,1116.9,1098.9,1028.8,835.5,1150.6,1171.7,1265,558.53,877.56,622.42,834.42
43200,982.5,1386.1,1321.5,1120.5,840.74,1030.8,1526.3,808.06,1012.3,1090,1080.7,1036.5,969.5,1125.5,1231.7,1411.1,703.29,1002.7,687.15,838.4
43800,922.94,1501.2,1233.5,1087.5,868.27,1053,1436.8,872.84,936.29,1002,1025.3,1088.5,963.72,1051.2,1327.1,1394.7,719.45,829.21,861.58,875.38
